ID,Entegrasyon_Adı,İlgili_Modül,Kullanım_Amacı,Kullanıcı_Problemi,Sağlayacağı_Değer,Entegrasyon_Tipi,Gerekli_Veri_Kaynakları,RAG_Gerekli,VectorDB_Gerekli,Backend_API,Frontend_UI,Kullanıcı_Onayı,LLM_Doğrudan_İşlem,Güvenlik_Riski,Prompt_Injection_Riski,Veri_Gizliliği_Riski,Yetkilendirme,Audit_Log,Doğrulama_Yöntemi,Test_Stratejisi,Başarı_Kriteri,Maliyet_Etkisi,Performans_Etkisi,Öncelik,Faz,Tahmini_Efor,Bağımlılıklar,Risk_Azaltma,Lead_Kararı,Durum
LLM-11,Ekran Görüntüsü → Test Senaryosu,ai / test_ide,Screenshot'tan UI elements detect edip test case'ler generate etmek,Visual testing manual; Screenshot'dan test case extraction time-consuming; UI change detection zor,UI test case üretimi 6-8 saat → 1 saat; Visual regression detection 95%+; UI coverage +45%,Image Analyzer + Code Generator,Screenshots; UI metadata; DOM structure; past test patterns; visual diff history,Evet,Evet,POST /api/v1/ai/generate-from-screenshot; POST /api/v1/ai/visual-diff,Test IDE'de screenshot uploader; element detection overlay; test case generation preview,Evet (User reviews detected elements before code gen),Hayır; Visual detection only; no automation at this stage,Yüksek: Screenshot may contain PII (customer data on screen),Orta: Visual prompt injection risk,Orta: UI structure leakage,test_management.write + ai.generate,Evet; screenshot source logged,Element detection accuracy; generated test validity; user satisfaction; visual regression catch rate,Unit: Element detection accuracy; E2E: Generated tests match visual; Regression: Consistency across screenshots,Detection accuracy ≥90%; Test validity ≥85%; User satisfaction >70%; Visual regression catch rate ≥95%,Orta,Orta,P2,Faz 2,L,- Vision model API; - OCR capability; - UI element taxonomy,- PII masking before processing; - Detection confidence >80%; - Manual review for financial/auth screens,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-12,Service Response → Test Data Üretimi,ai_synthetic_data / veri-kaynagi,API response'larından realistic test data generate etmek,Test data creation 20% of test time; Data freshness zor kontrol edilir; PII compliance risky,Test data gen 4 saat → 20 dakika; Data freshness ≥95%; PII compliance 100%; Coverage +30%,Code Generator + Synthetic Data,API response samples; data schema; constraints; past execution data; PII policy,Evet,Evet,POST /api/v1/ai/generate-test-data; GET /api/v1/data-schema-analysis,Data source page; schema analyzer; AI data gen; preview table; apply button,Evet (User reviews generated data before use),Hayır; Data suggestion mode,Yüksek: PII generation risk,Yüksek: Malicious schema injection,Yüksek: Synthetic data may leak real patterns,ai_synthetic_data.write,Evet; data generation params logged,PII compliance score; data uniqueness; schema match; user satisfaction,Unit: Data validity checks; E2E: Generated data passes all constraints; Regression: Data consistency over time,PII compliance 100%; Schema match ≥99%; Uniqueness ≥95%; User satisfaction >70%,Düşük,Düşük,P2,Faz 2,M,- Schema inference engine; - PII detection library; - Synthetic data validator,- Differential privacy enforcement; - PII masking in generation; - User data audit trail; - Quarterly compliance check,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-13,Database Tablo ve İlişki Açıklaması,knowledge_base / ai,DB schema'yı analiz edip tablo ilişkilerini açıklamak ve query optimize etmek,Database schema kompleks; Yeni developer'lar learning curve uzun; Query optimization subjektif,Schema learning time 1-2 hafta → 1 gün; Query performance +30%; Developer onboarding -50%,Knowledge Base + Query Analyzer,PostgreSQL schema (table, column, constraint metadata); query execution history; slow query log,Evet,Evet,POST /api/v1/ai/explain-schema; POST /api/v1/ai/optimize-query,Database tools page; schema explorer; table tooltip; query analyzer; optimize suggestion,Hayır (Explanations are informational),Hayır; Informational,Düşük: No code execution; analysis only,Düşük: Schema is non-sensitive,Düşük: Table names generic,admin.read (viewing schema allowed),Evet; explanation accessed logged,Explanation correctness; optimization impact; developer feedback; query performance gain,Unit: Schema explanation accuracy; E2E: Optimized queries actually improve perf; Regression: Consistency of recommendations,Accuracy ≥90%; Optimization impact ≥20%; Developer satisfaction >75%; Onboarding time -50%,Düşük,Düşük,P3,Faz 3,M,- Schema metadata extraction; - Query execution analyzer; - Index recommendation engine,- No sensitive column details in explanation; - Confidential table exclusion list; - Quarterly schema update,✅ Önerilir,Daha sonra
LLM-14,SQL Sorgusu Önerme ve Yardımcılığı,data_sources / ai,Doğal dilden SQL sorgu oluşturmak ve malicious sorguları detect etmek,SQL yazma risky; SQL injection riski; Manual verification zaman alıyor,SQL generation accuracy ≥85%; Security review time -40%; Injection detection ≥99%,Code Generator + Security Analyzer,Database schema; safe query patterns; past queries; SQL audit log,Evet,Evet,POST /api/v1/ai/generate-sql; POST /api/v1/ai/validate-sql,Query builder page; natural language input; AI suggestion; syntax highlight; security audit result,Evet (Suggestion shown; user reviews before execution),Hayır; Suggestion + human validation required before execute,Yüksek: SQL injection generation; Data leakage via WHERE,Yüksek: Malicious natural language prompt,Yüksek: Unfiltered query access,admin.read + data.query,Evet; generated query + approval logged,SQL accuracy; security violations caught; user satisfaction; execution time,Unit: SQL parse validity; E2E: Query produces correct results; Regression: Query consistency,Accuracy ≥85%; Security >99%; User satisfaction >70%; Review time -40%,Orta,Orta,P3,Faz 2,L,- Schema safety model; - SQL injection detector; - Query validator,- Parameterized query enforcement; - SQL whitelist for common patterns; - User signature required for execute; - Quarterly security audit,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-15,Risk Analizi ve Canlıya Çıkış Değerlendirmesi,quality / tspm / ai,Test coverage + defect history'ye dayalı release risk assessment,Release risk subjektif; Go/No-go kararı geç alınıyor; Late-stage defect'ler %25 escape,Risk assessment accuracy ≥85%; Go/no-go decision time -70%; Defect escape -%15,Risk Analyzer + Decision Engine,Test results; defect history; code changes; coverage metrics; past release data,Evet,Evet,POST /api/v1/ai/assess-release-risk; GET /api/v1/release-readiness,Quality dashboard; risk score; recommendation panel; confidence indicator; historical trend,Evet (Risk assessment is advisory; stakeholders make final decision),Hayır; Advisory only,Düşük: Analysis-only,Düşük: Aggregate data only,Orta: Risk factors may expose product weaknesses,quality.read + admin.read,Evet; risk assessment + decision logged,Risk prediction accuracy; Go/no-go decision correlation; defect escape rate; user confidence,Unit: Risk scoring logic; E2E: Predicted risk correlates with actual post-release defects; Regression: Consistency,Accuracy ≥85%; Go/no-go decision alignment ≥90%; Defect escape -15%; User trust >75%,Orta,Düşük,P2,Faz 2,L,- Historical release database; - Correlation analysis; - Defect trend forecasting,- Confidence >75%; - Always allow stakeholder override; - Quarterly recalibration on real releases,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-16,Release Notes Otomatik Üretimi,tspm / ai,Test coverage ve defect fix history'den release notes oluşturmak,Release note writing 6-8 saat; Manual; Inconsistent tone,Release note gen 6-8 saat → 30 dakika; Consistency ≥90%; Completeness ≥95%,Document Generator,Test results; defect fixes; feature commits; version history; past release notes,Evet,Evet,POST /api/v1/ai/generate-release-notes; GET /api/v1/release-template,Release management page; note generator; preview; edit; publish,Evet (Notes reviewed; PM edits before publish),Hayır; Draft generation mode,Düşük: No code execution,Orta: Note may mention internal architecture,Orta: Customer impact patterns exposed,tspm.write + admin.read,Evet; generated note published logged,Note completeness; accuracy; tone consistency; user satisfaction; time saved,Unit: Note structure validity; E2E: Notes match actual release; Regression: Tone consistency,Completeness ≥95%; Accuracy ≥90%; Tone consistency ≥85%; Time saved >70%; User satisfaction >75%,Düşük,Düşük,P2,Faz 2,S,- Release metadata collection; - Template engine,- Note generation confidence >75%; - PM manual review required; - Brand tone guidelines enforcement; - Quarterly template update,✅ Önerilir,MVP'ye alınmalı
LLM-17,Test Raporu Otomatik Üretimi,tspm / quality / ai,Test execution data'dan insightful reports generate etmek,Report writing 8-10 saat; Boilerplate; Eksik trend analysis,Report gen 8-10 saat → 1 saat; Insight accuracy ≥80%; Stakeholder clarity +40%,Report Generator + Analyzer,Test results; defect data; coverage metrics; trend history; performance data,Evet,Evet,POST /api/v1/ai/generate-test-report; GET /api/v1/report-template,Report dashboard; report generator; preview; customize; export,Evet (Report reviewed; PM edits before share),Hayır; Draft generation,Düşük: Report is summary-only,Orta: Trends may expose capacity constraints,Orta: Team performance data exposed,tspm.write + quality.read,Evet; report generated logged,Report completeness; insight accuracy; actionability; stakeholder feedback,Unit: Report structure; E2E: Insights match actual execution; Regression: Consistency,Completeness ≥95%; Accuracy ≥85%; Actionability ≥75%; Time saved ≥85%; Satisfaction >75%,Düşük,Düşük,P2,Faz 2,M,- Report template engine; - Trend analysis; - Data aggregation,- Confidence >75%; - Stakeholder review before share; - Sensitive data exclusion; - Quarterly template refresh,✅ Önerilir,MVP'ye alınmalı
LLM-18,Sprint/Proje Özeti ve Trendler,tspm / quality / ai,Sprint summary + trend analysis otomatik generate etmek,Sprint summary manual; Trend analysis eksik; Velocity forecasting zayıf,Sprint gen 4 saat → 30 dakika; Trend accuracy ≥80%; Velocity forecast ±10%,Analyzer + Forecaster,Test metrics; sprint velocity; defect trend; coverage progress; team capacity,Evet,Evet,POST /api/v1/ai/analyze-sprint; GET /api/v1/velocity-forecast,Dashboards; sprint summary card; trend chart; forecast; recommendation,Hayır (Summaries informational; no automatic action),Hayır; Informational,Düşük: Aggregate data only,Düşük: No code execution,Orta: Team metrics exposed,tspm.read + quality.read,Evet; analysis result logged,Summary accuracy; trend prediction; forecast accuracy; actionability,Unit: Metric calculation; E2E: Trends predict future sprints accurately; Regression: Consistency,Accuracy ≥85%; Trend ≥80%; Forecast ±10%; Actionability >75%,Düşük,Düşük,P3,Faz 2,M,- Metrics aggregation; - Velocity tracking; - Trend forecasting,- Confidence >75%; - Team metric aggregation only (no individual perf); - Privacy by design; - Quarterly recalibration,✅ Önerilir,MVP'ye alınmalı
LLM-19,Kullanıcı Rolüne Göre Akıllı Öneriler,ai / ui,Kullanıcının rolü ve geçmiş davranışına göre bağlamsal öneriler sunmak,Dashboard noise; Relevant features hard to discover; Personalization yok,Recommendation accuracy ≥75%; Feature discovery +40%; Adoption +35%,Recommendation Engine,User role; behavior history; project context; similar user patterns,Evet,Hayır,GET /api/v1/ai/personalized-suggestions,Homepage widgets; dashboard cards; feature cards; "Try this" suggestions,Hayır (All suggestions are passive recommendations),Hayır; Passive,Düşük: No action execution,Orta: Behavior patterns logged,Orta: Role-based segment leakage,Herhangi bir role,Evet; suggestion shown + interacted logged,Recommendation relevance; click-through rate; user satisfaction,Unit: Suggestion relevance; E2E: Recommendations drive feature adoption; Regression: Consistency,Relevance ≥75%; CTR >30%; Adoption +35%; Satisfaction >65%,Düşük,Düşük,P3,Faz 2,S,- Behavior tracking; - Recommendation model,- Confidence >65%; - Privacy-preserving personalization; - Opt-out available; - Quarterly model update,✅ Önerilir,Daha sonra
LLM-20,AI Destekli Ekran Tooltip/Yardımcılığı,ui / ai,Kullanıcı hover/click'te LLM-powered context yardımı sunmak,UI complex; Help docs out-of-date; Support ticket'leri repetitive,Support ticket'leri -30%; Onboarding time -40%; User satisfaction +25%,Help Assistant,Help docs; UI context; user role; screen metadata; FAQ history,Hayır,Hayır,GET /api/v1/ai/tooltip?element=X,Floating help panel; tooltip on hover; "Learn more" link; FAQ search,Hayır (All tooltips informational),Hayır; Advisory,Düşük: Static content only,Düşük: No dynamic generation,Düşük: Generic help,public.read,Evet; help tooltip accessed logged,Tooltip relevance; user satisfaction; support ticket reduction; feature adoption,Unit: Tooltip accuracy; E2E: Help reduces support tickets; Regression: Consistency,Relevance ≥80%; Satisfaction >70%; Support -30%; Adoption +25%,Düşük,Düşük,P3,Faz 3,XS,- Help content indexing; - Context extraction,- Confidence >70%; - Static help only (no dynamic generation); - Regular docs sync; - Quarterly audit,✅ Önerilir,Daha sonra
LLM-21,Kod Taraması ve Kalite Önerileri,ai / test_ide,Generated test code'u review edip quality suggestions sunmak,Test code quality low; Technical debt; Code review bottleneck,Code review time -45%; Quality issues -50%; Maintainability +35%,Code Reviewer + Analyzer,Generated code; test patterns; style guide; past reviews,Hayır,Hayır,POST /api/v1/ai/review-test-code,IDE'de inline review comments; quality score; suggestion panel,Hayır (All suggestions advisory; user decides),Hayır; Advisory,Düşük: Analysis-only; no execution,Düşük: Generated code patterns,Düşük: Generic quality patterns,test_management.read,Evet; review result logged,Review accuracy; suggestion relevance; quality improvement; adoption rate,Unit: Code analysis accuracy; E2E: Code quality improves post-review; Regression: Consistency,Accuracy ≥85%; Quality improvement ≥40%; Review time -45%; Satisfaction >70%,Düşük,Düşük,P3,Faz 3,M,- Code analyzer; - Style guide enforcement,- Confidence >75%; - Non-blocking suggestions; - Style guide versioning; - Quarterly rule update,✅ Önerilir,Daha sonra
LLM-22,Güvenlik Risk Analizi,ai / security,Test artifacts ve code'u analiz edip güvenlik risk'lerini identify etmek,Security review time-consuming; Vulnerabilities late-stage'de found; PII risks bilinmiyor,Security scan accuracy ≥90%; Vulnerability early detection +60%; PII risk awareness ≥95%,Security Scanner + Analyzer,Test code; generated artifacts; logs; PII detection patterns,Evet,Evet,POST /api/v1/ai/security-scan; POST /api/v1/ai/pii-detection,Security dashboard; vulnerability badge; risk score; remediation guide,Hayır (All findings advisory; security team reviews),Hayır; Advisory,Yüksek: Comprehensive artifact scan,Yüksek: Malicious prompt for FP,Yüksek: Security findings exposure,admin.read + security.read,Evet; scan result logged,Vulnerability detection accuracy; false positive rate; remediation time; compliance score,Unit: Vulnerability pattern recognition; E2E: Found vulns match actual issues; Regression: Consistency,Accuracy ≥90%; False positive <10%; Remediation time -50%; Compliance >95%,Orta,Düşük,P2,Faz 2,L,- Vulnerability database; - PII pattern library; - Remediation KB,- Confidence >80%; - Security team review required; - Quarterly vulnerability DB update,✅ Önerilir,Tasarım onayı sonrası uygulanabilir
LLM-23,Performans Bottleneck Önerme,ai / quality,Test execution logs analiz edip performance bottleneck'leri identify etmek,Perf issue detection manual; Bottleneck tanımlama zor; Optimization vague,Bottleneck detection ≥85%; Perf improvement potential +40%; MTTR -%50,Performance Analyzer,Execution logs; performance metrics; resource usage; baseline data,Evet,Evet,POST /api/v1/ai/analyze-performance; GET /api/v1/perf-bottlenecks,Performance dashboard; bottleneck list; impact score; optimization guide,Hayır (All suggestions advisory),Hayır; Advisory,Düşük: Analysis-only,Orta: Perf patterns may expose internals,Orta: Baseline exposure,quality.read + ops.read,Evet; analysis result logged,Detection accuracy; suggestion relevance; optimization impact; actionability,Unit: Bottleneck pattern recognition; E2E: Optimizations reduce latency; Regression: Consistency,Accuracy ≥85%; Suggestion ≥75%; Impact +40%; Actionability >70%,Düşük,Düşük,P3,Faz 3,L,- Perf baseline; - Metrics collection; - Optimization KB,- Confidence >75%; - Expert review recommended; - Quarterly baseline update,✅ Önerilir,Daha sonra
