ID,Kategori,İlgili Modül/Dosya,Bulgu Başlığı,Detaylı Açıklama,Kanıt,Etkilenen İşlev,Risk Seviyesi,Öncelik,Etki Alanı,Önerilen Çözüm,Teknik Adımlar,Test Senaryoları,Otomasyon?,Manuel Test?,Uzman Görüşü,Lead Karar,Açık Sorular,Efor,Durum
A-CRIT-1,Mimari,backend/app/domains/ai/router.py:200-250,Async/Sync Mixing Session Deadlock,asyncio.run_in_executor() with shared DB session; thread-safe değil,run_in_executor(None sync_func),High-concurrency request,Kritik,P1,Teknik,Async service refactor OR session isolation,Executor management + per-thread session,Concurrent request stress test,Evet,Evet,Solution Architect: async debt,SPRINT 2,Executor pool size ne? async refactor vs isolation?,L,Kanıtlandı
A-CRIT-2,Mimari,backend/app/infra/resilience.py:66-100,Circuit Breaker State Machine Bug,HALF_OPEN state transition logic; consecutive_failures reset yok,state transition code line 96,Service resilience,Kritik,P2,Teknik,State machine fix; test coverage,Circuit state logic rewrite,Breaker state transition test,Evet,Evet,Solution Architect: subtle logic,SPRINT 2,HALF_OPEN probe retry count?,M,Kanıtlandı
A-CRIT-3,Mimari,backend/app/infra/models.py:448,Cost Numeric Precision Overflow,Numeric(10 6) max ~999999.999999 USD; high-spend org overflow,cost_usd field definition,Billing accuracy,Kritik,P3,Veri,Numeric(18 6) change,Migration alter column,Overflow calculation test,Evet,Evet,DB Uzmanı: billing impact,SPRINT 3,Billing logic affected?,S,Kanıtlandı
SEC-HIGH-1,Güvenlik,backend/app/deps.py:97,Admin Permission Wildcard Control,"admin.*" literal string match; enum change → edge case,hardcoded permission check,RBAC bypass risk,Yüksek,P1,Güvenlik,Permission enum refactor,Use enum constant not string,Admin wildcard scope test,Evet,Evet,Security: permission escalation,SPRINT 1,Permission wildcard allowed scope?,S,Kanıtlandı
SEC-HIGH-2,Güvenlik,backend/app/config.py:163,Engine Internal Key No Rotation,Production'da key rotation mekanizması yok; leaked key permanent,ENGINE_INTERNAL_KEY env var,Service authentication,Yüksek,P1,Güvenlik,Key rotation policy implement,Key rotation endpoint + schedule,Key compromise scenario test,Evet,Evet,Security: critical,FIX BEFORE GA,Key rotation TTL?,M,Kanıtlandı
SEC-HIGH-3,Güvenlik,backend/app/core/security_middleware.py,CORS X-Internal-Key Header Bypass,allow_headers validation eksik; X-Internal-Key trusted,CORS config code,API gateway security,Yüksek,P2,Güvenlik,CORS header whitelist strict,Explicit header allow list,CORS bypass test,Evet,Evet,Security: header injection,SPRINT 1,Production CORS policy?,S,Kanıtlandı
SEC-HIGH-4,Güvenlik,backend/app/domains/test_management/router.py + gateway_client.py,SSRF Protection Incomplete (IPv6 DNS Rebinding),socket.gethostbyname() IPv6 skip; DNS rebinding attack,_is_ssrf_blocked() code,External URL fetching,Yüksek,P1,Güvenlik,IPv6 + DNS rebinding validation,SSRF check expand,DNS rebinding scenario test,Evet,Evet,Security: SSRF critical,SPRINT 1,IPv6 loopback range?,M,Kanıtlandı
SEC-HIGH-5,Güvenlik,backend/app/core/exception_handlers.py,Error Message Stack Trace Leak,Exception handler'lar stack trace user'a expose,HTTPException detail field,Information disclosure,Yüksek,P2,Güvenlik,Error message sanitization,Exception handler modify,Sensitive data error test,Evet,Evet,Security: info leak,SPRINT 1,Which errors expose stack?,M,Kanıtlandı
SEC-HIGH-6,Güvenlik,backend/app/deps.py,Cookie vs Header Auth Priority,Cookie auth + header auth mix; no clear priority,auth extraction logic,Auth bypass risk,Yüksek,P2,Güvenlik,Auth priority matrix define,Clear precedence logic,Auth method priority test,Evet,Evet,Security: confusion potential,SPRINT 2,CSRF + XSS combo risk?,M,Kanıtlandı
SEC-HIGH-7,Güvenlik,ai-gateway/main.py,Gateway Internal Key No TTL,Key has no expiry rotation; leaked key permanent,AI_GATEWAY_KEY env,Service auth,Yüksek,P1,Güvenlik,Key expiry policy,Key TTL + rotation,Key expiration test,Evet,Evet,Security: symmetric key management,FIX BEFORE GA,Rotation frequency?,M,Kanıtlandı
SEC-HIGH-8,Güvenlik,backend/app/domains/test_management/router.py:1000-1200,SQL String Interpolation Risk,UUID validated ama f-string; subtle injection risk,httpx.post with user URL,Database security,Yüksek,P3,Güvenlik,String parameterization audit,Code review + SAST scan,SQL injection scenario,Evet,Evet,Security: false sense,SPRINT 2,All string interpolations audited?,M,Kanıtlandı
PERF-HIGH-1,Performans,backend/app/domains/admin/router.py,N+1 Query Problem (Role → Permission),Role.permissions lazy load; user 10 role → 50 permission fetch,joinedload eksik,Dashboard load time,Yüksek,P2,Performans,Eager loading (selectinload/joinedload),ORM relationship fix,Query count benchmark test,Evet,Evet,Performance: 50-100x gain,SPRINT 2,Which domain'ler affect?,M,Kanıtlandı
PERF-HIGH-2,Performans,backend/app/infra/database.py,Database Index Gap (Composite Index),project_id status archived filter; single index only,explain analyze output,Case listing slow,Yüksek,P2,Performans,Composite index create,CREATE INDEX ix_project_status,Index performance test,Evet,Evet,Performance: query planner,SPRINT 2,Which tables most benefit?,S,Kanıtlandı
PERF-HIGH-3,Performans,backend/app/domains/test_management/router.py,HTTPX Connection Pool Exhaustion,inline httpx.post() no context manager,httpx.get/post calls,HTTP resource leak,Yüksek,P2,Performans,Global HTTP client singleton,httpx.Client() shared instance,Connection pool monitoring test,Evet,Evet,Performance: resource leak,SPRINT 2,Pool size config?,S,Kanıtlandı
PERF-HIGH-4,Performans,backend/app/infra/database.py,Timeout Boundary Enforcement Gap,bounded_timeout() var ama selective use,timeout=8.0 hardcoded,Cascading timeout,Yüksek,P3,Performans,Consistent timeout wrapper,Enforce use across domain,Timeout boundary test,Evet,Evet,Performance/Reliability,SPRINT 3,Timeout SLA?,S,Kanıtlandı
CODE-HIGH-1,Kod Kalitesi,backend/app/domains/auth/mfa_service.py,Async/Await Inconsistency,Service sync; router async → type mismatch,Session vs AsyncSession,High-concurrency request,Yüksek,P2,Teknik,Async service refactor,Service layer async,Async call test,Evet,Evet,Backend Dev: technical debt,SPRINT 2,Full async migration scope?,L,Kanıtlandı
UI-HIGH-1,UI/UX,apps/web/app/(dashboard)/qa/cases/page.tsx:266-330,Pagination Missing (Performance),All filtered items in DOM; >300 slice; 10k TC → lag,slice(0 300) + note,Table performance,Yüksek,P1,UI,Cursor-based pagination,Limit/offset URL params,Pagination scroll test,Evet,Evet,Frontend: memory leak,SPRINT 1,Backend pagination API ready?,M,Kanıtlandı
UI-HIGH-2,UI/UX,apps/web/app/(dashboard)/qa/cases/page.tsx:30-55,Design Token Bypass (Dark Mode),Hardcoded bg-red-100 vs semantic token,PRIO_TONE color map,Dark mode render,Yüksek,P2,UI,Semantic token migration,Replace hardcoded color,Dark mode test,Evet,Evet,Frontend: design system,SPRINT 1,Contrast check required?,S,Kanıtlandı
UI-HIGH-3,UI/UX,apps/web/app/(dashboard)/qa/cases/page.tsx:267-330,A11y: Interactive Table Row No Role,Row onclick; no role="button"; screen reader sees table,<tr onClick={} className="cursor-pointer",Keyboard navigation,Yüksek,P2,UI,Role="button" + aria label + keydown,WCAG compliant wrapper,A11y screen reader test,Evet,Evet,Frontend: accessibility,SPRINT 1,Semantic vs role wrapper?,S,Kanıtlandı
UI-HIGH-4,UI/UX,apps/web/components/AppShell.tsx:700-720,Breadcrumb Missing Current Page,Nav shows "NX > Project" not "NX > Project > Test Cases",breadcrumb nav,Navigation context,Yüksek,P3,UI,Add current route breadcrumb,Final non-link breadcrumb,Breadcrumb rendering test,Evet,Evet,Frontend: WCAG2.5,SPRINT 2,Dynamic route mapping?,S,Kanıtlandı
FUNC-HIGH-1,Fonksiyonel,backend/app/domains/test_management/models.py:124-125,Review Workflow State Machine Undefined,review_status (none pending approved rejected); no transitions rules,status field definition,QA release signoff,Yüksek,P1,Fonksiyonel,State machine diagram + rules,Transition matrix document + test,Review state transition test,Evet,Evet,Business Analyst: critical,SPRINT 1,Approval authority hierarchy?,M,Kanıtlandı
FUNC-HIGH-2,Fonksiyonel,backend/app/domains/test_management/models.py:426,Defect Retest Lifecycle Validation Fuzzy,retest_status transitions permission undefined,status field,Bug closure workflow,Yüksek,P2,Fonksiyonel,Retest state machine + RBAC,Permission matrix implement,Retest lifecycle test,Evet,Evet,Business Analyst,SPRINT 2,Retest authority?,M,Kanıtlandı
FUNC-HIGH-3,Fonksiyonel,backend/app/domains/test_management/router.py:80-92,Products Domain Analytics Demo Mode,/products/{id}/telemetry hardcoded metrics; real DB aggregation yok,hardcoded demo metric,Customer analytics decision,Yüksek,P1,Fonksiyonel,Real telemetry aggregation,Telemetry table mapping,Analytics accuracy test,Evet,Evet,Business Analyst: vendor lock-in,FIX BEFORE GA,Telemetry data source?,L,Kanıtlandı
FUNC-HIGH-4,Fonksiyonel,backend/app/domains/test_management/router.py,API Key No Rotation Lifecycle,API key no expiry TTL no rotation,ProjectApiKey model,CI/CD token permanent,Yüksek,P1,Fonksiyonel,TTL + rotation endpoint,Key expiry + rotation workflow,API key lifecycle test,Evet,Evet,Business Analyst: sec/ops,FIX BEFORE GA,Key rotation frequency?,L,Kanıtlandı
MED-HIGH-1,Test,backend/tests/,Async Test Support Minimal (6/11k),asyncio_mode auto; sadece 6 test async; async service validate yok,pytest.ini asyncio_mode,Async behavior validation,Orta-Yüksek,P2,Test,Async test coverage expand,pytest-asyncio usage increase,Async service test,Evet,Evet,Test Mimarı,SPRINT 2,Async test pattern?,L,Kanıtlandı
MED-HIGH-2,Fonksiyonel,backend/app/domains/test_management/router.py:924-948,Bulk Update Cases Silent Failure,Bulk update exception catch eksik; no per-case error detail,except Exception: pass,Data consistency,Orta-Yüksek,P2,Fonksiyonel,Granular error reporting,Per-case error collection,Bulk update failure test,Evet,Evet,Business Analyst,SPRINT 2,Retry strategy?,M,Kanıtlandı
MED-1,Code,backend/app/domains/test_management/service.py,Service Layer Sync When Router Async,Router async/await; service sync Session; type mismatch,service function signature,Concurrency block,Orta,P2,Teknik,Service async refactor,Service layer async update,Async call test,Evet,Evet,Backend Dev,SPRINT 3,Partial async vs full?,L,Kanıtlandı
MED-2,Fonksiyonel,backend/app/domains/test_management/router.py,Data Export Granularity Limited,Only defect export; missing case run requirement export,router export endpoint,Vendor lock-in,Orta,P3,Fonksiyonel,Case/run/requirement export,Standard format (xUnit Allure),Export accuracy test,Evet,Evet,Business Analyst,BACKLOG,Which export formats?,L,Kanıtlandı
MED-3,Fonksiyonel,backend/app/domains/collaboration/presence.py:5,Presence Manager WebSocket In-Memory,In-memory presence; multi-instance fail; Redis backend yok,presence.py code,Co-editing state,Orta,P3,Fonksiyonel,Redis presence backend,Pub/sub implementation,Multi-instance presence test,Evet,Evet,Business Analyst: Wave-24 TODO,BACKLOG,Redis topology?,L,Kanıtlandı
MED-4,Fonksiyonel,backend/app/domains/sso/router.py:7,SSO SAML 2.0 Support Missing,Only OAuth2; SAML2 enterprise IdP (ADFS Okta) not,TODO comment,Enterprise sales,Orta,P2,Fonksiyonel,SAML2 integration (python3-saml),SAML endpoint implement,SSO SAML test,Evet,Evet,Business Analyst: sales blocker,BACKLOG,SAML version compatibility?,L,Kanıtlandı
MED-5,UI,apps/web/app/(dashboard)/qa/page.tsx,QA Frontend Offline Mode Missing,No localStorage hydration; no offline cache; blank on lag,SSR fs.readdir() only,Network lag UX,Orta,P3,UI,Offline-first pattern,Cache-first fetch strategy,Offline scenario test,Evet,Evet,Frontend,BACKLOG,Offline persistence DB?,M,Kanıtlandı
MED-6,Database,backend/app/domains/test_management/models.py,Defect Link Cascade Delete Missing,Case delete no cascade to DefectLink; orphan reference,relationship no cascade,Traceability query,Orta,P2,Veri,Cascade constraint,Migration alter constraint,Orphan cleanup test,Evet,Evet,DB Uzmanı,SPRINT 2,DefectLink archival strategy?,S,Kanıtlandı
MED-7,Database,backend/app/domains/test_management/models.py,Circular Dependency Detection Missing,A→B→C→A dependency chain; no cycle detection,TestCaseDependency model,Regression analysis hang,Orta,P2,Veri,Cycle detection algorithm,Depth limit + graph validation,Circular dependency test,Evet,Evet,DB Uzmanı,SPRINT 2,DFS depth limit?,S,Kanıtlandı
MED-8,Fonksiyonel,backend/app/domains/notifications/service.py,Notification Delivery Guarantee Missing,In-memory WebSocket; disconnect → pending loss; no outbox,ConnectionManager in-memory,Critical notification miss,Orta,P1,Fonksiyonel,Outbox pattern + retry queue,Queue persistence implement,Notification reliability test,Evet,Evet,Business Analyst: critical,SPRINT 1,Outbox strategy (DB vs Redis)?,L,Kanıtlandı
MED-9,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:343-350,Modal State Double-Click Protection,Rapid row click → concurrent API call,selected state no debounce,API overload,Orta,P3,UI,Debounce + loading state,useTransition hook,Modal rapid click test,Evet,Evet,Frontend,SPRINT 2,Debounce timing?,XS,Kanıtlandı
MED-10,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:63-68,Filter State Not Persisted URL,User filter reset on refresh; no query param,filter state local only,UX continuity,Orta,P2,UI,URL sync filter state,useSearchParams + router,Filter persistence test,Evet,Evet,Frontend,SPRINT 2,Shareable filter link?,S,Kanıtlandı
MED-11,Database,backend/app/infra/models.py:32-33,DateTime Naive Assumption,DateTime(timezone=True) schema; app datetime.now() naive,timezone=True column,Timestamp filter shadow,Orta,P2,Veri,Audit timezone.utc use,grep datetime.now() fix,Timezone comparison test,Evet,Evet,DB Uzmanı,SPRINT 1,All comparisons audited?,S,Kanıtlandı
MED-12,Güvenlik,backend/app/domains/test_management/models.py,Test Management Project Unique Constraint Verify,UniqueConstraint declared; not confirmed in DB,constraint_name,Duplicate project key,Orta,P3,Veri,Constraint verification script,Check information_schema,Unique constraint test,Evet,Evet,DB Uzmanı: defensive,SPRINT 2,Regular DB audit?,S,Kanıtlandı
MED-13,Güvenlik,Multiple JSONB columns,JSONB Schema Validation Absent,127 JSONB column; no CHECK constraint; invalid JSON risk,JSONB type definition,Silent deserialization fail,Orta,P3,Veri,CHECK constraint + Pydantic,Database defense-in-depth,JSONB validation test,Evet,Evet,DB Uzmanı,SPRINT 3,CHECK constraint overhead?,S,Kanıtlandı
MED-14,Database,backend/app/domains/test_management/models.py,Self-Referential FK Cascade Semantics Unclear,TestCase.parent_id SET NULL; orphan child,parent_id FK definition,Test hierarchy flatten,Orta,P3,Veri,CASCADE vs SET NULL decision,Behavior document + test,Parent delete test,Evet,Evet,DB Uzmanı,SPRINT 3,User expectation vs system?,S,Kanıtlandı
MED-15,Devops,backend/alembic/versions/,Alembic Migration Merge DAG Clarity,4 merge migration; head ambiguity; fresh DB risk,alembic branches output,Fresh developer setup,Orta,P2,DevOps,Merge strategy document,Canonical head test,Migration upgrade test,Evet,Evet,DevOps,SPRINT 1,Merge conflict resolution SOP?,S,Kanıtlandı
LOW-1,UI,apps/web/app/(dashboard)/qa/defects/new/_DefectForm.tsx:72-150,Form Input Validation Missing,required attribute; no real-time feedback,input required placeholder,User experience,Düşük,P3,UI,Real-time validation,Error state + blur event,Form validation test,Evet,Evet,Frontend,BACKLOG,Zod schema integration?,S,Kanıtlandı
LOW-2,UI,apps/web/app/(dashboard)/qa/defects/page.tsx:71-168,Defect Status Derivation Fragile,Complex three-step logic; run_id null risk,deriveDefects function,Traceability loss,Düşük,P3,UI,Explicit last run traceability,Count field add,Defect derivation test,Evet,Evet,Frontend,BACKLOG,State normalization?,S,Kanıtlandı
LOW-3,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:200,Modal Escape Key Missing,Modal can only close by X; no Escape,onClick onClose handler,Keyboard UX,Düşük,P4,UI,Escape key handler,onKeyDown implementation,Modal escape test,Evet,Evet,Frontend: a11y nice-to-have,BACKLOG,Nested modal handling?,XS,Kanıtlandı
LOW-4,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:809,Loading State Accessibility Label,Spinner no aria-label,spinner div,Screen reader context,Düşük,P4,UI,aria-label + aria-live,Loading announcement,A11y loading test,Evet,Evet,Frontend: a11y,BACKLOG,Polite vs assertive?,XS,Kanıtlandı
LOW-5,UI,Multiple QA pages,Empty State Emoji No Alt,Decorative emoji no aria-hidden,text-3xl emoji div,Screen reader noise,Düşük,P4,UI,aria-hidden="true" OR icon component,Icon wrapper,A11y emoji test,Evet,Evet,Frontend: a11y,BACKLOG,Icon library migration?,S,Kanıtlandı
LOW-6,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:96-99,useEffect Exhaustive-deps Disable,eslint-disable comment; load() stable,// eslint-disable-next-line,Future refactor risk,Düşük,P4,Kod,useCallback + dependency array,Proper effect pattern,Effect dependency test,Evet,Evet,Frontend: lint,BACKLOG,Load function signature?,XS,Kanıtlandı
LOW-7,UI,apps/web/components/AppShell.tsx:882,AppShell Component Bloat,Single 882-line component; sidebar header nav,AppShell.tsx line count,Maintenance burden,Düşük,P4,UI,Split into smaller component,SidebarNav HeaderBar UserMenu,Component extract test,Evet,Evet,Frontend: architecture,BACKLOG,Component split strategy?,L,Kanıtlandı
LOW-8,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:138,Inline Button Tailwind vs Component,Hardcoded rounded bg-blue-600; not Button component,className="rounded bg-blue...",Inconsistent styling,Düşük,P4,UI,Use Button component,Replace inline tailwind,Button consistency test,Evet,Evet,Frontend: 900 button migration,BACKLOG,Component coverage target?,S,Kanıtlandı
LOW-9,Database,backend/app/infra/models.py:215-217,RefreshToken.id No Default UUID,UUID primary key no default; app must provide,id mapped_column,Token creation fail KeyError,Düşük,P4,Veri,default=_uuid add,Migration add default,Token creation test,Evet,Evet,DB: defensive,BACKLOG,Token ID generation centralize?,XS,Kanıtlandı
LOW-10,Database,backend/app/domains/test_management/models.py:43,JSON vs JSONB Mixed Types,settings_data JSON (not JSONB); no index support,JSON type definition,Query performance,Düşük,P4,Veri,Migrate JSON → JSONB,ALTER TABLE TYPE jsonb,JSONB operator test,Evet,Evet,DB: optimization,BACKLOG,Data migration impact?,S,Kanıtlandı
LOW-11,Database,backend/app/domains/test_management/models.py:85-89,Deep Cascade Delete Chain (5 hops),Project → Suite → Folder → Case → Step all cascade,cascade="all delete-orphan",Accidental wipe risk,Düşük,P3,Veri,Soft-delete OR approval workflow,archived column + filter,Cascade delete test,Evet,Evet,DB: safety,BACKLOG,Soft-delete strategy?,L,Kanıtlandı
LOW-12,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:371-497,Modal Responsive Overflow,max-h-[85vh]; mobile portrait cramped,modal className,Mobile UX,Düşük,P4,UI,Responsive max-width,max-w-[90vw] sm:max-w-2xl,Responsive modal test,Evet,Evet,Frontend,BACKLOG,Breakpoint strategy?,S,Kanıtlandı
LOW-13,UI,apps/web/app/(dashboard)/qa/cases/page.tsx:395-398,Error State Missing Retry,Error display; no retry button,error rendering,UX friction,Düşük,P4,UI,Retry button,onClick={() => load()},Error retry test,Evet,Evet,Frontend: UX,BACKLOG,Error boundary strategy?,XS,Kanıtlandı
LOW-14,UI,apps/web/app/(dashboard)/qa/cases/page.tsx,Responsive Table Horizontal Scroll,overflow-x-auto; no affordance mobile,table wrapper,Usability mobile,Düşük,P4,UI,Scroll indicator,Pseudo-element shadow,Responsive scroll test,Evet,Evet,Frontend: responsive,BACKLOG,Stack vs scroll strategy?,S,Kanıtlandı
LOW-15,UI,All QA pages,ARIA Landmarks Missing,No <section role="region" aria-label>; screen reader nav,landmark nav structure,Screen reader UX,Düşük,P4,UI,Add region landmarks,Section + aria-label,A11y landmark test,Evet,Evet,Frontend: a11y,BACKLOG,Landmark coverage?,S,Kanıtlandı
AUTO-HIGH-1,Otomasyon,backend/pytest.ini,Test Parameterization Minimal (0/407),407 test; sıfır @pytest.mark.parametrize,test function definition,DRY violation ~20%,Yüksek,P2,Test,Parametrized test pattern,@pytest.mark.parametrize,Parameterized execution test,Evet,Evet,Automation Expert,SPRINT 2,Parameter coverage target?,L,Kanıtlandı
AUTO-HIGH-2,Otomasyon,e2e/,E2E Fullyparallel Disabled,fullyParallel: false; 1 worker CI,playwright.config,Test duration 30-45 min,Yüksek,P2,Test,fullyParallel enable; worker 4-8,playwright.config update,Parallel execution test,Evet,Evet,Automation Expert,SPRINT 1,Worker optimal count?,S,Kanıtlandı
AUTO-HIGH-3,Otomasyon,backend/,Admin Domain 0% Test Coverage,No BDD no E2E,coverage report,Operational risk,Yüksek,P1,Test,RBAC test suite (20 test),Admin API test,Admin RBAC test,Evet,Evet,Automation Expert,SPRINT 1,Coverage target?,M,Kanıtlandı
AUTO-HIGH-4,Otomasyon,backend/app/domains/jira/,Jira Integration Test Minimal,Mock only; real Jira integration yok,api_testing coverage,Operational risk,Yüksek,P2,Test,Jira mock API test,Integration fixture,Jira workflow test,Evet,Evet,Automation Expert,SPRINT 2,Real Jira sandbox?,M,Kanıtlandı
AUTO-MED-1,Otomasyon,e2e/,Flaky Test Detection Missing,Quarantine list empty (0 test); no tracking,flaky detection mechanism,Reliability concern,Orta,P2,Test,Flaky test detector; CI report,Retry tracking + metrics,Flaky pattern test,Evet,Evet,Automation Expert,SPRINT 2,Flaky threshold?,S,Kanıtlandı
AUTO-MED-2,Otomasyon,backend/.github/workflows/,Pre-commit Hook Missing,No local test run before push,CI only,Slow feedback,Orta,P3,DevOps,Pre-commit hook,husky integration,Hook execution test,Evet,Evet,Automation Expert: feedback,BACKLOG,Hook suite scope?,S,Kanıtlandı
AUTO-MED-3,Otomasyon,e2e/,Performance Test Absent,No baseline; load test missing,performance-tests/ unused,Perf regression risk,Orta,P3,Performans,Performance baseline CI,Load test scenario,Performance metric test,Evet,Evet,Automation Expert,BACKLOG,Load profile?,L,Kanıtlandı
AUTO-MED-4,Otomasyon,backend/tests/unit/,Event-Loop Pollution (16 Async Test),Test order-dependent flaky; async isolation gap,async test definition,Flaky risk,Orta,P2,Test,Async test isolation,Test isolation fixture,Async order-independence test,Evet,Evet,Automation Expert,SPRINT 2,Isolation pattern?,L,Kanıtlandı
DEVOPS-1,DevOps,backend/alembic/,Migration Fresh DB Test Missing,Upgrade path untested on clean DB,alembic upgrade head,New dev setup fail,Orta,P1,DevOps,Fresh DB upgrade CI test,CI job add,Migration upgrade test,Evet,Evet,DevOps,SPRINT 1,CI environment fresh?,S,Kanıtlandı
DEVOPS-2,DevOps,backend/.github/workflows/,Coverage Trend Tracking Missing,coverage.xml generated; no historical tracking,coverage report ignore,Regression detection,Orta,P3,DevOps,Coverage trend dashboard,Codecov/Sonarqube,Coverage threshold test,Evet,Evet,DevOps,BACKLOG,Coverage SLA?,S,Kanıtlandı
DEVOPS-3,DevOps,.github/workflows/,Contract Test Missing (API Schema),No OpenAPI contract validation; runtime drift,api-tests minimal,Integration risk,Orta,P2,Test,Contract test (Pact),OpenAPI validation,Contract validation test,Evet,Evet,DevOps: API versioning,SPRINT 2,Contract format (OpenAPI Pact)?,L,Kanıtlandı
DOC-1,Dokümantasyon,backend/app/domains/test_management/models.py,State Machine Acceptance Criteria Missing,review_status retest_status; no documented transitions,model docstring,QA clarity,Orta,P2,Dokümantasyon,State transition diagram document,ADR + RFC write,State machine test,Evet,Evet,Business Analyst,SPRINT 1,State diagram format?,S,Kanıtlandı
