id,dosya,satır,ekran,özellik,başlık,kategori,severite,mevcut,problem,çözüm,kullanıcıEtkisi,tasarımÖnerisi,impact,gereksinim,testAlanları,testSenaryosu,otomasyonUygun,eforSeviyesi,_report_type
ARCH-011,apps/web/lib/hooks/ (18 files),,,,Hook Interdependencies — Circular Import Riski,Mimarisi,Orta,use-management.ts → management; use-management-project-id.ts → useManagementProjectId; use-management-role.ts → useProjectRole. Cross-hook dependencies (ör: useReviewQueue depends on useManagementFlakyTests context). Query key factory'leri hooks'ta defined.,Circular dependency potansiyeli. Hook içinde hook call etmek escape hatch. Query key factory'leri hooks'ta defined'sa new import needed. Code splitting difficult. Monorepo workspace package'lara split'ta sorun.,"Separation: hooks/ (query logic), query-keys/ (factory only), types/ (domain types). Query key factory import hooks yapmasın, tersini yap. useManagementProjectId top-level hook olmasın — parent'a geç.",,,,,,,,,architect
ARCH-012,"apps/web components AiStatusChip, AiAssistantPanel, CommandPalette",,,,AI Feature Prop Drilling — Type Safety Eksik,Kod Kalitesi,Orta,AiStatusChip 'provider' prop type: `typeof provider.value` (runtime-dependent). AiAssistantPanel children callback prop'u. CommandPalette fuzzy search results type any.,TypeScript strict mode'da type errors. Refactor sırasında prop signature breaking easy. AI provider enum'lar shared type yok (backend-frontend mismatch). Provider shape JSON-based (stringly-typed).,@neurex/contracts use et. Backend ProtoAiProvider ↔️ FrontendAiProvider interface sync. Command palette results generic type. useAiProvider() custom hook ai provider shape validate etsin.,,,,,,,,,architect
ARCH-013,apps/web/components/management/NotificationBell.tsx,,,,Notification Polling — Manual Refresh vs Real-time Gap,Performans,Orta,NotificationBell.tsx useQuery refetchInterval: 30_000ms (polling). Manual refresh button var. WebSocket yok. Badge count state local.,30s polling → 30s latency worst case. Network waste. User açıp kapattığında refetch'leme missed. Push notification event handler yok. Badge count out-of-sync risk (mutually exclusive update'ler).,WebSocket stream (notification channel) ekle. Fallback polling. useNotificationStream() hook. Badge count TanStack Query onSuccess callback'te optimistic. React 18 useTransition graceful update.,,,,,,,,,architect
ARCH-014,apps/web/app/(dashboard)/p/[projectId]/management/requirements/page.tsx (2323 satır),,,,Mega Requirements Page — Inline Table Rendering,Performans,Yüksek,"requirements page 2323 satır — data-table inline render, filter bar, column selector, sort logic, pagination hepsi page.tsx'te. 50+ rows per page default.",Virtual scrolling yok — 50+ rows = render block. Useless re-render (query refetch → page re-render → tüm rows re-render). Memoization eksik. Sort/filter state page'de — URL querystring yok (back button problem).,"Virtualized table component (TanStack Virtual). useDataTableState() hook (sort, filter, pagination → URL query). React.memo memoization. Lazy column rendering. Row component'ini pure function yap.",,,,,,,,,architect
ARCH-015,apps/web/lib/query-keys.ts,,,,Query Key Factory — Late Binding Root Keys,Mimarisi,Orta,query-keys.ts ROOT_KEYS static constant (hand-maintained). managementKeys factory undefined'dan geçiliyor — enabled guard yapılmadığı yerde queryKey undefined element'ler içeriyor.,Root key add'i query-keys.ts'de unutuluyor (linter rule yok). Undefined queryKey elements → infinite loop risk (cache invalidation doesn't hit). New domain hook'lar re-export ununu gittiğinde build break.,eslint-plugin-query custom rule: ROOT_KEYS'deki her key'in query-keys.ts'de re-export'ı olmalı. queryKey factory undefined guard (enabled property) — validator test. Schema validation JSON schema.,,,,,,,,,architect
ARCH-016,apps/web/app/(dashboard)/_components/module-orchestrator/ModuleOrchestratorProvider.tsx,,,,Module Orchestrator Provider — Undocumented Contract,Mimarisi,Düşük,ModuleOrchestratorProvider context provider — layout'ta wrap'lenmiş. Tanımı unclear. Module switching logic'i hızlı pattern değilse.,Module orchestrator ne yaptığı docu yok. Component'ler dependency'sine sahip mi? Context shape Type definition var mi? Boilerplate'i aşırı mı?,CONTRIBUTING.md'ye explain ekle. Provider type export et. Hook'ları document et (JSDoc). Context shape'ı interface'le. Module registry pattern clear yapın.,,,,,,,,,architect
ARCH-017,apps/web/app/(dashboard)/p/[projectId]/management/_components/workspace/WorkspaceShell.tsx (1033 satır),,,,Workspace Shell — Nested Layout Indirection,Mimarisi,Orta,"WorkspaceShell.tsx 1033 satır — case list, detail drawer, context, state hepsi. CaseDetailDrawer nested. Layout tree: Page → WorkspaceShell → List + Drawer.",Nested layout'ta prop drilling. Data flow direction unclear (page → shell → list → drawer vs drawer → shell → page). State sync'i zor. Testing ağır.,Flat compound component pattern: useCaseDetailDrawer hook → context. Page App Shell'e benzer provider. List ve Drawer sibling'ler (not nested). Drawer close callback page'de.,,,,,,,,,architect
ARCH-018,apps/web/components/ui/data-table.tsx,,,,Data Table — No Pagination/Sort/Filter Abstraction,Kod Kalitesi,Orta,"data-table.tsx basic table component — pagination, sort, filter logic inline. Reusable state management pattern yok.",Her table page'i kendi sort/filter logic'ini implement ediyor. Copy-paste. Inconsistent UX (requirements vs reports vs defects table'lar farklı). Server-side pagination spec yok.,"useDataTableState() hook (sort state, filter state, pagination). Server-side spec'i implement et (offset/limit vs cursor). Tanstack Table library eval et (headers, columns, rows type-safe).",,,,,,,,,architect
UX-001,,,apps/web/app/(dashboard)/admin/users/page.tsx,,Form etiketleri ve input alanları arasında boşluk tutarsızlığı,UI,Orta,"Etiket ve input alanları gap-1.5 ile ayrılmış, ancak form satırında flex wrap kullanılıyor ve mobilde alignment bozuluyor","Mobil görünümde form alanları (email, şifre, ad soyad, rol, buton) yan yana sarmalanıyor ve düzensiz layout oluşuyor",,"Mobil kullanıcılar form alanlarını düzenli şekilde göremez, gözle takip etmekte zorluk yaşar",Mobilde form alanlarını grid layout'a geçir (gap-3 sm:gap-2) ve minimum genişlik kısıtlamasını grid template'de tanımla,,,,,,,ux
UX-002,,,apps/web/app/(dashboard)/page.tsx,,Stat kartlarının mobilde çok küçük görünmesi,Responsive,Yüksek,"grid-cols-2 sm:grid-cols-3 lg:grid-cols-6 ile 6 sütunlu layout — mobilde 2, tablet'te 3, desktop'te 6","6 stat kartı 2 sütuna sığdırıldığında her kart çok dar olur, metin okunmaz hale gelir",,"Mobil kullanıcılar dashboard istatistiklerini okuyamaz, veri görselleştirmesi başarısız",Breakpoint yapısını 'grid-cols-1 sm:grid-cols-2 md:grid-cols-3 lg:grid-cols-4 xl:grid-cols-6' olarak düzenle ve kartlara min-h-24 ekle,,,,,,,ux
UX-003,,,apps/web/app/(dashboard)/qa/page.tsx,,Coverage Matrix tabelinde sütun başlıkları mobilde kaymıyor,Responsive,Yüksek,"Tablo overflow-x-auto ile sarılmış, ancak sticky header yok","Sayfa yatay kaydırılırken tablo başlıkları da kaydırılıyor, kullanıcı hangi sütunun ne olduğunu kaybediyor",,"Mobilde tablo okunması imkansız hale gelir, veri analizi yapılamaz",thead'e 'sticky top-0 z-10 bg-surface' ekle ve th'lere 'position: sticky; left: 0 (ilk sütun için)' style'ı uygula,,,,,,,ux
UX-004,,,apps/web/app/(dashboard)/management/page.tsx,,Proje listesi boş durumda görsel hiyerarşi zayıf,UX,Orta,"Empty state ikonu, başlık, açıklama ve butonlar var ama ikona sadece bg-slate-800 rengi verilmiş","Boş durum yeterince dikkat çekmiyor, kullanıcı ne yapması gerektiğini hemen anlamıyor",,"Yeni kullanıcılar, proje oluşturmak yerine sayfayı boş bulup geri gidebilirler","Empty state ikonu rengini brand rengine (teal-500) çıkar, ikona backdrop filter ekle, h-16 w-16 boyutunda yap",,,,,,,ux
UX-005,,,apps/web/components/ui/button.tsx,,Buton variant'larında renk kontrastı WCAG standartlarına uymuyor,Erişilebilirlik,Kritik,"'ghost' variant'ında text-fg-muted ve hover:text-fg kullanılmış, contrast ratio düşük",Düşük kontrastlı butonlar görme özürlü/zayıf kullanıcılar için okunmuyor (WCAG AA ihlali),,"Engelli kullanıcılar web siteyi kullanamaz, yasal uyum riski","ghost variant'da 'text-fg' başlasın, hover'da 'bg-surface-overlay' arka plan ekle; minimum contrast 4.5:1 sağla",,,,,,,ux
UX-006,,,apps/web/app/(dashboard)/qa/cases/page.tsx,,Filter kontrolleri form görünümünde değil satırda sıralanmış,UI,Orta,Filtre alanları 'flex flex-wrap items-center gap-2' ile yan yana sarmalanmış,"Mobilde filtreler çok dar görünür, label'lar input'lardan ayrılır, UX kafa karıştırıcı olur",,"Mobil kullanıcılar filtreleri etkili kullanamaz, arama/filtreleme iş akışı bozulur","Filtre gruplamasını 'flex flex-col sm:flex-row gap-4 sm:items-center' yapılandır, select/input'ları grid'de düzenle",,,,,,,ux
UX-007,,,apps/web/app/(dashboard)/admin/settings/page.tsx,,Service status tablosunda yanıt süresi (uptime) formatı tutarsız,UI,Düşük,"fmtUptime() fonksiyonu: s<60→'%ds', s<3600→'%dd', s<86400→'%ds' (yanlış), s>=86400→'%dg' döndürüyor","Saat cinsinden uptime 's' olarak gösteriliyor (örn. 3600s = 1 saat), format hatalı ve kafa karıştırıcı",,"Admin, service status'ü doğru yorumlayamaz, downtime süresi yanlış hesaplanır","fmtUptime() formatını düzelt: s<60→'%ds', s<3600→'%dm', s<86400→'%dh', s>=86400→'%dd' yap",,,,,,,ux
UX-008,,,apps/web/app/(dashboard)/p/[projectId]/management/my-work/page.tsx,,Summary chip'ler mobilde yer kaynakları dolayı kırılıyor,Responsive,Orta,Summary chips: 'flex items-center gap-2 text-[11px]' içinde inline display — mobilde sarmalanıyor,"Mobilde chip'ler iki satıra yayılıyor, okumaları zor hale gelir",,Mobil kullanıcılar açık iş sayısını ve toplam işleri görürken karmaşa yaşar,"Chip container'ını 'flex flex-wrap sm:flex-nowrap' yap, chip'lere min-w-max ekle",,,,,,,ux
UX-009,,,apps/web/app/(dashboard)/qa/page.tsx,,Kpi bileşenlerinin value gösterimleri inconsistent,UI,Orta,Kpi value'ler 'text-2xl font-semibold' ama pct gösterimi '%90%' şeklinde (yüzde simgesi + sayı + simge),"Kpi başlıkları arasında boyut tutarsızlığı var, '%90%' notasyonu standart değil",,"Kullanıcı metrik değerlerini hızlıca okuyamaz, istatistikler karışık görünür","Tüm value'lerde '90%' formatı kul, text boyutunu tutarlı tut (text-3xl), tabular-nums class ekle",,,,,,,ux
UX-010,,,apps/web/app/(dashboard)/admin/users/page.tsx,,Form submission hata mesajı stil ve konumu belirsiz,Feedback,Orta,"Error: 'mt-3 text-sm text-red-400 data-testid=...' — form alanından ayrı, renk-sadece gösterim","Hata mesajı öğeler arasında gözardı edilebilir, renk körlüğünde seçilemez, ikon/sembol yok",,"Kullanıcılar hata mesajını kaçırabilir, ne yapması gerektiğini anlamayabilir",Hata container'ı: 'rounded-lg border border-danger-200 bg-danger-50 p-3 flex items-center gap-2'; error icon ekle; aria-live='polite',,,,,,,ux
UX-011,,,apps/web/app/(dashboard)/page.tsx,,Pause/Resume butonları metin/simge etiketlemesinde tutarsızlık,UI,Düşük,"Butonlarda '▶ Devam' ve '⏸ Duraklat' unicode simgeleri hardcoded, arial'de hata riski","Unicode simgeler tarayıcılarda render'lanmayabilir, simge yazı tipinden sürükleme riski",,Bazı cihazlarda simgeler kaydırılmış yada hatalı görünebilir,"SVG icon komponentlerini kullan (lucide-react), '▶'/⏸' yerine '<Play size={14} />' / '<Pause size={14} />'",,,,,,,ux
UX-012,,,apps/web/app/(dashboard)/qa/cases/page.tsx,,"Buton etiketindeki '+ New Case' İngilizce, sayfa Türkçe",Tasarım,Düşük,"Buton metni: '+ New Case' — tüm sayfa Türkçe (başlık, açıklama) ama buton İngilizce","Dil tutarsızlığı, kullanıcı arayüzü homojen görünmüyor",,Türkçe kullanıcılar uzanlaştırılmış hissederler,"Buton metnini '+ Yeni Case' olarak çevir, tüm sayfada dil konsistansı sağla",,,,,,,ux
UX-013,,,apps/web/app/(dashboard)/qa/defects/page.tsx,,Priority badge renkleri WCAG standartlarına uymuyor,Erişilebilirlik,Yüksek,"P0: 'bg-red-100 text-red-700', P1: 'bg-amber-100 text-amber-700', P2: 'bg-blue-100 text-blue-700'","Açık arka planlı light modu badge'leri, okunaklı kontrast sağlamıyor (AA standartı <4.5:1)",,"Renkkörlük olan kullanıcılar priority'leri ayırt edemez, öncelik yönetimi başarısız",Badge'lerin arka plan/metin rengini koyu tema'ya çevir: 'bg-red-900/30 text-red-300' gibi; renk+ikon simgesi ekle,,,,,,,ux
UX-014,,,apps/web/app/(dashboard)/p/[projectId]/management/my-work/page.tsx,,Case type badge'i mobilde gizleniyor (hidden sm:inline),Responsive,Orta,'.hidden shrink-0 rounded px-1.5 py-0.5 text-[9px] font-semibold sm:inline' — mobilde görünmez,"Mobil görünümde test case türü (unit, e2e vb.) gösterilmiyor, türleme hatasında yardımcı olmaz",,"Mobil kullanıcılar test türünü göremez, case'in tipini tahmin etmek zorunda","Badge'i inline tut, truncate ekle, font boyutunu prose-friendly'e çıkar (text-[10px]); mobilde acronym (U/E) göster",,,,,,,ux
UX-015,,,apps/web/components/ui/modal.tsx,,Modal close button'u aria-label'i Türkçe ama button'da visual cue yok,Erişilebilirlik,Orta,"'<span className=""sr-only"">Kapat</span>' — sadece screen reader'lar için, visual user görmez","Close button'u sadece X simgesi, metin etiketi yok — hover tooltip'i olmadan işlevi belirsiz",,Yeni kullanıcılar X simgesinin ne olduğunu anlayamayabilir,"Close button'a 'title=""Kapat""' attribute ekle, veya button'un yanına metin ekle: 'X' yerine 'X Kapat'",,,,,,,ux
UX-016,,,apps/web/app/(dashboard)/qa/page.tsx,,Test Runs listesinde boş durum çok basit,UX,Orta,Empty state: 'Henüz koşum yok. npm run run-record veya npm run import-results deneyin.',"End-user'lar npm komutlarını anlamaz, boş durum çok teknik ve rehbersiz",,Yeni kullanıcılar test koşularını nasıl oluşturaacağını öğrenemiyor,"Empty state metnini 'Test koşu kaydı yok. Yeni koşu oluşturmak için Aç butonunu kullan.' yapıp, action buton ekle",,,,,,,ux
UX-017,,,apps/web/app/(dashboard)/admin/audit/page.tsx,,Audit filter'larının label'ları input'lardan görsel olarak ayrılmıyor,UI,Orta,"Filter input'ları inline, label'lar küçük ve hafif renk (text-xs text-slate-400)","Form alanlarında label-input ilişkisi görsel olarak belirsiz, form ergonomisi düşük",,Kullanıcılar hangi input'un ne için olduğunu hızlıca okuyamaz,"Filtre gruplamasını card içine al, label'ları bold yap, input'ları block layout'a geçir (sm:inline-block)",,,,,,,ux
UX-018,,,apps/web/app/(dashboard)/qa/cases/page.tsx,,Test case listesi açılırken loading durumunda spinner yok,Feedback,Düşük,"Loading state: 'Yükleniyor...' metni, spinner visual yok",Kullanıcı page'in yüklenmekte olduğunu görsel olarak doğrulayamaz,,"Yavaş internet'te sayfa hiç tepki vermiyor gibi görüyor, sayfa'yı yeniden yüklemeyi deniyor","Loading state'e animated spinner ekle (lucide-react Loader2), skeleton rows göster (5-10 fake case row'ları)",,,,,,,ux
UX-019,,,apps/web/app/(dashboard)/page.tsx,,"Son Aktiviteler listesinde Avatar seed random, her refresh'te renkler değişiyor",UX,Düşük,Avatar component'e 'seed={a.resource_id}' prop'u verilmiş ama seed her zaman stable değil (responsive change),"Avatar renkleri her sayfada değiştiği için kullanıcı avatarı hatırlayamaz, visual consistency bozuluyor",,Kullanıcılar kişileri avatarlara göre ayırt edemez,"Avatar seed'i 'a.actor' string'ine dayandır (deterministic), seed={hashString(a.actor)} gibi stable hash kullan",,,,,,,ux
UX-020,,,apps/web/app/(dashboard)/p/[projectId]/management/page.tsx,,Management root rotası redirect yükleme spinner'ı çok basit,Feedback,Düşük,Loading spinner sadece 'h-4 w-4 animate-spin' — minimal visual feedback,"Sayfa redirect olurken boş/kopmuş görüntü verir, kullanıcı ne olduğunu anlamaz",,"Uygumanın hiç çalışmadığı hissi verir, kullanıcı çıkabilir",Loading page'i richify et: spinner + '🔄 Management açılıyor...' metni + progress bar ekle,,,,,,,ux
UX-021,,,apps/web/app/(dashboard)/admin/teams/page.tsx,,"Tablo satırları hover'da animasyon yok, interaktif hissi vermez",UX,Düşük,Tablo row'ları plain <tr> — hover style'ı basit veya hiç yok,"Tablo satırları static görünür, tıklanabilir olduğu belli değil",,"Kullanıcılar tablo satırlarının interaktif olduğunu anlamaz, tıklamayı denemiyor","Tablo row'larına 'hover:bg-surface-overlay cursor-pointer transition-colors' ekle, mouse cursor'u pointer yap",,,,,,,ux
UX-022,,,apps/web/app/(dashboard)/qa/run/page.tsx,,Manual test run wizard sayfasında başlık yazı boyutu tutarsız,UI,Düşük,Header: 'h1' tag ama 'text-xl' class — diğer dashboard sayfalarda 'text-2xl' veya 'text-3xl',"Başlık boyutu sayfalar arası tutarsız, visual hierarchy bozuluyor",,Uygumanın tasarlanmamış hissi verir,Başlık yazı boyutunun tüm sayfalarda 'text-2xl sm:text-3xl' olmasını standartlaştır,,,,,,,ux
UX-023,,,apps/web/components/ui/form-modal.tsx,,Form modal'ında submit buton disabled state'inde visual feedback eksik,Feedback,Orta,Submit button: 'disabled:opacity-50 disabled:pointer-events-none' — sadece opacity change,"Disabled button'un durumu yeterince belli değil, kullanıcı tıklamayı deneyebilir",,Kullanıcılar form validation hataları görmeden button'a tekrar tıklamaya çalışır,"Disabled state'ine grayscale filter, cursor-not-allowed, ve tooltip ('Form hatalı, düzeltin') ekle",,,,,,,ux
UX-024,,,apps/web/app/(dashboard)/management/notifications/page.tsx,,Notification list'inde read/unread state visual ayırımı yeterince güçlü değil,UI,Orta,Read notification'lar: 'opacity-60' — sadece saydamlık değişiyor,"Okunmamış (unread) notification'lar yeterince dikkat çekmiyor, önemli bilgi kaçırılabiliyor",,Kullanıcılar önemli bildirimleri gözden kaçırıyor,"Unread notification'lara 'bg-blue-50 border-l-4 border-blue-500' ekle, bold başlık yap, read'e 'opacity-50' tut",,,,,,,ux
UX-025,,,apps/web/app/(dashboard)/qa/cases/[id]/edit/page.tsx,,Edit form'da unsaved changes uyarısı eksik,UX,Yüksek,Form'da save button vardır ama form değiştiğinde page leave uyarısı (beforeunload) yok,"Kullanıcı form'u değiştirip kazara sayfadan çıksa değişiklikler kaybolur, uyarı yok",,"Kullanıcıların yazı/yapılan değişiklikler kaybolur, hayal kırıklığı yaşar","useBeforeUnload hook kullan, form dirty state'ini track et, leave attempt'te modal with 'Değişiklikleri kaydet?' sor",,,,,,,ux
DEV-001,apps/web/lib/api-client.ts,243-258,,,Türü belirsiz error handling,Tip Güvenliği,Orta,"function extractApiErrorMessage(body: unknown, fallback: string): string {
  if (typeof body === ""string"" && body) return body;
  if (!body || typeof body !== ""object"") return fallback;
  const detail = ""detail"" in body ? (body as { detail?: unknown }).detail : body;",Type assertion (as { detail?: unknown }) ile güvenli olmayan cast işlemi. Runtime'da type check yok.,Type guard function yazın: function hasDetail(v: unknown): v is { detail: unknown } { return typeof v === 'object' && v !== null && 'detail' in v; },,,,,,,,,dev
DEV-002,apps/web/components/AiStatusChip.tsx,47-65,,,Race condition - fetch cleanup işlemi,Performans,Yüksek,"useEffect(() => {
  let cancelled = false;
  const fetchHealth = () => { /* ... */ };
  fetchHealth();
  const t = setInterval(fetchHealth, REFRESH_INTERVAL);
  return () => { cancelled = true; clearInterval(t); };
}, []);",Multiple parallel requests - setInterval sırada 30s tarafından tek tek istek atıyor. İlk request'in response'u gelmeden ikinci request atılırsa state update yarışı olur.,AbortController kullanın veya request counter ile state set işlemini guard'layın.,,,,,,,,,dev
DEV-003,apps/web/components/AppShell.tsx,36-42,,,Dynamic import error handling eksik,Hata İşleme,Orta,"const CommandPalette = dynamic(() => import(""./CommandPalette"").then(m => m.CommandPalette), { ssr: false });","Dynamic import'de hata oluşursa (network error, module bulunamadı) fallback UI yok - boş component döner.","loading parametresi ile fallback component geçin: { ssr: false, loading: () => <Skeleton /> }",,,,,,,,,dev
DEV-004,apps/web/lib/api-client.ts,277-287,,,Unused variable - skipAuthRedirect,Refactor,Düşük,"const { json, headers, skipAuthRedirect = false, noAuth = false, retryOnUnauthorized = !skipAuthRedirect && !noAuth, ...rest } = init;",skipAuthRedirect parametresi sadece retryOnUnauthorized'ı hesaplamak için kullanılıyor ve daha sonra hiç referans edilmiyor.,Parametreyi kaldır ve doğrudan noAuth değerini kullan: retryOnUnauthorized = !noAuth,,,,,,,,,dev
DEV-005,apps/web/components/CommandPalette.tsx,76-86,,,Ünkontrol localStorage error handling,Hata İşleme,Orta,"function loadRecent(): RecentEntry[] {
  if (typeof window === ""undefined"") return [];
  try {
    const raw = localStorage.getItem(RECENT_STORAGE_KEY);
    if (!raw) return [];
    return (JSON.parse(raw) as RecentEntry[]).slice(0, MAX_RECENT);
  } catch { localStorage.removeItem(RECENT_STORAGE_KEY); return []; }","localStorage engellenmişse (private mode, quota exceeded) silent fail - kullanıcıya haber verilmiyor.",Error türünü kontrol et ve önemli hatalar için console.warn ekle.,,,,,,,,,dev
DEV-006,apps/web/lib/hooks/use-management.ts,11-13,,,Eksik union type discriminator,Tip Güvenliği,Yüksek,"export type TestRunStatus = ""not_run"" | ""running"" | ""passed"" | ""failed"" | ""blocked"" | ""skipped"";
export type TestRunOverallStatus = ""not_started"" | ""in_progress"" | ""completed"" | ""failed"";","Benzer string literals (""failed"") iki type'da da var - runtime'da karışabiliyor. Type guard edilmiyor.",Farklı enum prefix kullanan discriminator ekle: export type TestRunStatus = `case_${...}` | `case_passed` gibi,,,,,,,,,dev
